"name","alim_grp_nom_fr","alim_ssgrp_nom_fr","alim_ssssgrp_nom_fr","calories","total_fat","saturated_fat","polyunsaturated_fatty_acids","monounsaturated_fatty_acids","protein","carbohydrate","sugars","lactose","fiber","calcium","vitamin_a","vitamin_b5","vitamin_b6","vitamin_b12","vitamin_d","vitamin_c","vitamin_e","vitamin_k","unsaturated_fat"
"Dessert (aliment moyen)",0.0,0.0,0.0,0.0,12.9,5.18,1.68,4.74,4.63,36.6,23.7,1.89,1.54,75.0,56.3,0.4,0.056,0.21,0.27,1.37,1.97,0.0,7.720000000000001
"Salade de thon et légumes, appertisée","entrées et plats composés","salades composées et crudités",0.0,0.0,4.7,0.56,1.76,1.83,9.15,7.74,3.08,0.0,2.7,20.7,2.0,0.16,0.29,1.45,0.5,2.75,1.6,0.0,4.140000000000001
"Salade composée avec viande ou poisson, appertisée","entrées et plats composés","salades composées et crudités",0.0,0.0,5.3,0.16,1.54,3.27,8.06,6.4,1.9,0.2,2.0,22.0,21.0,0.2,0.12,1.23,0.44,0.0,2.04,9.75,5.14
"Champignons à la grecque, appertisés","entrées et plats composés","salades composées et crudités",0.0,0.0,3.55,0.23,1.67,0.2,2.08,3.95,2.38,0.3,2.35,27.0,0.0,0.88,0.088,0.018,0.0,6.67,1.08,0.0,3.32
"Salade de pommes de terre, fait maison","entrées et plats composés","salades composées et crudités",0.0,0.0,8.2,1.43,3.74,2.48,2.68,9.9,0.0,0.0,1.3,19.0,29.0,0.53,0.14,0.0,0.0,10.0,0.0,0.0,6.77
"Taboulé ou Salade de couscous, préemballé","entrées et plats composés","salades composées et crudités",0.0,179.0,6.7,0.67,1.45,4.23,4.88,23.7,4.9,0.2,2.5,24.0,0.0,0.26,0.052,0.0,0.0,6.27,1.26,10.6,6.03
"Salade de pomme de terre à la piémontaise, préemballée","entrées et plats composés","salades composées et crudités",0.0,130.0,8.3,0.82,2.04,5.02,4.5,8.87,1.2,0.2,0.5,13.0,21.0,0.44,0.099,0.0,0.5,21.6,3.96,10.9,7.48
"Salade de riz, appertisée","entrées et plats composés","salades composées et crudités",0.0,0.0,4.35,0.53,0.0,2.23,5.13,16.1,1.0,0.0,1.7,23.3,2.0,0.14,0.13,0.43,0.5,4.48,1.63,0.0,3.8199999999999994
"Salade de pâtes, végétarienne","entrées et plats composés","salades composées et crudités",0.0,0.0,8.1,2.37,3.92,1.46,5.7,13.7,2.3,0.0,1.7,14.0,7.0,0.0,0.09,0.0,0.0,21.0,1.95,0.0,5.7299999999999995
"Crudité, sans assaisonnement (aliment moyen)","entrées et plats composés","salades composées et crudités",0.0,29.9,0.7,0.12,0.095,0.29,0.94,3.07,2.27,0.085,1.51,25.1,0.017,0.17,0.082,0.0,0.093,12.2,0.34,24.0,0.58
"Salade de pâtes aux légumes, avec poisson ou viande, préemballée","entrées et plats composés","salades composées et crudités",0.0,0.0,9.94,1.74,1.91,5.85,5.19,14.0,2.16,0.0,1.98,19.0,11.0,0.28,0.14,0.14,0.12,12.3,1.18,0.0,8.2
"Macédoine de légumes en salade, avec sauce, préemballée","entrées et plats composés","salades composées et crudités",0.0,0.0,9.3,0.7,0.0,0.0,2.81,7.0,2.3,0.3,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.600000000000001
"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée","entrées et plats composés","salades composées et crudités",0.0,0.0,10.0,2.36,2.09,4.99,8.13,4.88,1.71,0.2,2.0,100.0,27.9,0.47,0.094,0.48,0.25,1.11,2.24,32.0,7.640000000000001
"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée","entrées et plats composés","salades composées et crudités",0.0,168.0,8.3,0.92,3.04,3.95,3.79,17.4,4.61,0.1,3.3,37.0,0.0,0.27,0.059,0.0,0.25,0.5,2.67,10.0,7.380000000000001
"Carottes râpées, avec sauce, préemballées","entrées et plats composés","salades composées et crudités",0.0,0.0,5.0,0.43,1.82,2.53,0.98,6.01,5.2,0.2,3.64,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57
