name,calories,total_fat,saturated_fat,polyunsaturated_fatty_acids,protein,carbohydrate,sugars,lactose,fiber,calcium,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_a,vitamin_b12,vitamin_b6
"ANDREA'S, Gluten Free Soft Dinner Roll",257.0,8.2,0.0,0.0,5.65,40.24,2.98,0.0,2.9,41.0,0.0,0.52,0.0,0.0,0.0,0.0,0.14
"APPLEBEE'S, 9 oz house sirloin steak",189.0,9.1,3.5,0.532,26.85,0.0,0.0,0.0,0.0,16.0,0.0,0.37,0.0,0.0,22.0,2.0,0.575
"APPLEBEE'S, Double Crunch Shrimp",323.0,19.0,3.4,9.682,12.31,25.96,1.07,0.0,2.6,45.0,0.0,1.97,29.1,0.0,5.0,0.43,0.055
"APPLEBEE'S, chicken tenders platter",297.0,16.0,2.8,7.042,19.62,17.98,0.36,0.0,1.0,23.0,0.0,1.45,0.0,0.0,67.0,0.14,0.506
"APPLEBEE'S, chili",157.0,9.8,4.2,0.644,12.56,4.57,2.27,0.0,1.4,34.0,0.0,1.15,0.0,1.1,1436.0,1.26,0.321
"APPLEBEE'S, coleslaw",120.0,7.1,1.1,3.819,0.79,13.17,9.33,0.0,2.8,36.0,0.0,0.5,65.1,13.7,1504.0,0.0,0.129
"APPLEBEE'S, crunchy onion rings",356.0,20.0,3.6,10.255,4.58,40.17,4.48,0.0,3.1,22.0,0.0,1.27,41.1,0.0,4.0,0.0,0.077
"APPLEBEE'S, french fries",290.0,13.0,2.3,5.802,3.31,39.5,0.0,0.0,3.9,19.0,0.0,0.93,33.4,0.7,0.0,0.0,0.205
"APPLEBEE'S, from kid's menu",143.0,4.3,1.3,0.952,5.01,21.08,3.7,3.66,1.3,79.0,0.0,0.52,0.0,0.0,67.0,0.24,0.065
"APPLEBEE'S, from kids' menu",296.0,16.0,2.9,7.894,19.25,18.36,0.39,0.0,1.2,23.0,0.0,1.28,25.1,0.0,72.0,0.15,0.484
"APPLEBEE'S, hand battered",202.0,9.1,1.6,4.559,13.23,16.65,0.51,0.0,0.9,13.0,0.0,0.88,0.0,0.0,22.0,1.23,0.201
"APPLEBEE'S, mozzarella sticks",316.0,18.0,6.7,4.58,14.87,22.87,2.8,1.04,2.1,319.0,0.0,0.71,22.2,0.0,432.0,0.99,0.067
"ARBY'S, classic",242.0,10.0,3.4,1.762,15.17,22.21,3.84,0.0,1.3,55.0,0.0,0.0,0.0,0.0,0.0,0.96,0.215
"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",497.0,24.0,8.1,1.43,4.28,65.02,34.06,0.0,2.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
"ARCHWAY Home Style Cookies, Coconut Macaroon",460.0,23.0,20.0,0.81,3.02,61.23,45.16,0.0,5.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARCHWAY Home Style Cookies, Date Filled Oatmeal",400.0,12.0,2.8,1.11,4.67,68.16,34.27,0.0,2.1,28.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
"ARCHWAY Home Style Cookies, Dutch Cocoa",431.0,15.0,3.6,1.18,4.5,69.44,35.35,0.0,2.6,13.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
"ARCHWAY Home Style Cookies, Frosty Lemon",430.0,17.0,5.8,0.92,4.41,64.78,33.35,0.0,0.7,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARCHWAY Home Style Cookies, Iced Molasses",420.0,14.0,4.2,2.44,3.5,69.12,38.43,0.0,1.0,24.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
"ARCHWAY Home Style Cookies, Iced Oatmeal",435.0,17.0,4.6,2.72,4.89,66.76,37.2,0.0,2.0,32.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
"ARCHWAY Home Style Cookies, Molasses",403.0,12.0,2.8,1.05,4.25,69.41,36.35,0.0,1.2,29.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
"ARCHWAY Home Style Cookies, Oatmeal",421.0,14.0,3.2,1.33,5.48,68.17,34.5,0.0,2.9,35.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
"ARCHWAY Home Style Cookies, Oatmeal Raisin",406.0,12.0,2.8,1.16,5.17,69.27,39.55,0.0,2.7,38.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
"ARCHWAY Home Style Cookies, Old Fashioned Molasses",406.0,12.0,2.8,1.0,4.27,70.55,36.09,0.0,1.1,32.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",468.0,18.0,3.8,1.67,5.17,72.23,32.64,0.0,1.8,36.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"ARCHWAY Home Style Cookies, Peanut Butter",480.0,24.0,5.4,4.23,9.0,58.48,32.55,0.0,2.8,35.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0
"ARCHWAY Home Style Cookies, Raspberry Filled",400.0,13.0,5.2,1.1,4.35,65.92,31.76,0.0,2.2,20.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
